artist,name,url,yt_links,Genre0,Genre1,Genre2,Genre3,Genre4,Genre5,Genre6,Genre7
Kanye West,Off the Grid,https://www.last.fm/music/Kanye+West/_/Off+the+Grid,https://www.youtube.com/watch?v=EM2Fnp_qnE8,christmas,pop,holiday,pop,female vocalists,pop rock,,
Kelly Clarkson,Underneath the Tree,https://www.last.fm/music/Kelly+Clarkson/_/Underneath+the+Tree,https://www.youtube.com/watch?v=EbDMNjT-QpI,drill,hip hop,trap,rap,hip-hop,rap,hip hop,
"Tyler, the Creator",See You Again (feat. Kali Uchis),"https://www.last.fm/music/Tyler,+the+Creator/_/See+You+Again+(feat.+Kali+Uchis)",https://www.youtube.com/watch?v=TGgcC5xg9YI,rap,pop,rnb,alternative hip hop,feature,hip-hop,rap,ofwgkta
Frank Ocean,Pink + White,https://www.last.fm/music/Frank+Ocean/_/Pink+%252B+White,https://www.youtube.com/watch?v=bPjZmQAvk_8,hip-hop,the weeknd,rnb,kanye west,trap,hip-hop,rap,hip hop
Kanye West,Hurricane,https://www.last.fm/music/Kanye+West/_/Hurricane,https://www.youtube.com/watch?v=cHzeTKPlbJg,christmas,jazz,swing,christmas,,,,
Frank Sinatra,Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet),https://www.last.fm/music/Frank+Sinatra/_/Let+It+Snow%21+Let+It+Snow%21+Let+It+Snow%21+(with+The+B.+Swanson+Quartet),https://www.youtube.com/watch?v=uzS3WG6__G4,rnb,soul,frank ocean,beyonce,rnb,soul,hip-hop,
"Tyler, the Creator",Earfquake,"https://www.last.fm/music/Tyler,+the+Creator/_/Earfquake",https://www.youtube.com/watch?v=HmAsUQEFYGI,neo-soul,alternative rnb,rap,alternative,tyler the creator,hip-hop,rap,ofwgkta
Arctic Monkeys,505,https://www.last.fm/music/Arctic+Monkeys/_/505,https://www.youtube.com/watch?v=EWXIOlmms84,indie rock,rock,indie,lana del rey,pop,pop rock,indie pop,
Olivia Rodrigo,"jealousy, jealousy","https://www.last.fm/music/Olivia+Rodrigo/_/jealousy,+jealousy",https://www.youtube.com/watch?v=qU9mHegkTc4,indie rock,indie,british,rock,alternative,indie rock,indie,british
Kanye West,Praise God,https://www.last.fm/music/Kanye+West/_/Praise+God,https://www.youtube.com/watch?v=LUjn3RpkcKY,christmas,pop,love,2011,pop,rnb,justin bieber,
Justin Bieber,Mistletoe,https://www.last.fm/music/Justin+Bieber/_/Mistletoe,https://www.youtube.com/watch?v=9sJZOGxRxwM,trap,christian hip hop,hip-hop,baby keem,hip-hop,rap,hip hop,
Sia,Snowman,https://www.last.fm/music/Sia/_/Snowman,https://www.youtube.com/watch?v=gset79KMmt0,christmas,christmas songs,female vocalists,indie,chillout,,,
Dean Martin,Let It Snow! Let It Snow! Let It Snow!,https://www.last.fm/music/Dean+Martin/_/Let+It+Snow%21+Let+It+Snow%21+Let+It+Snow%21,https://www.youtube.com/watch?v=Rnil5LyK_B0,christmas,oldies,xmas,christmas music,jazz,swing,christmas,
Band Aid,Do They Know It's Christmas? - 1984 Version,https://www.last.fm/music/Band+Aid/_/Do+They+Know+It%27s+Christmas%3F+-+1984+Version,https://www.youtube.com/watch?v=bmj7KlIut1w,christmas,80s,new wave,holiday,pop,christmas,80s,
Frank Ocean,Chanel,https://www.last.fm/music/Frank+Ocean/_/Chanel,https://www.youtube.com/watch?v=XnbsIl2BnWw,rnb,hip-hop,pop rap,pop,rnb,soul,hip-hop,
Phoebe Bridgers,Motion Sickness,https://www.last.fm/music/Phoebe+Bridgers/_/Motion+Sickness,https://www.youtube.com/watch?v=9sfYpolGCu8,indie rock,rock,indie,alt-country,singer-songwriter,folk,indie folk,
The walters,I Love You So,https://www.last.fm/music/The+walters/_/I+Love+You+So,https://www.youtube.com/watch?v=NwFVSclD_uc,2014,2010s,indie,indie rock,indie pop,,,
Nat King Cole,The Christmas Song (Merry Christmas To You),https://www.last.fm/music/Nat+King+Cole/_/The+Christmas+Song+(Merry+Christmas+To+You),https://www.youtube.com/watch?v=sx4ahhEkKDw,christmas,xmas,jazz,jazz,christmas,swing,,
Dua Lipa,Levitating,https://www.last.fm/music/Dua+Lipa/_/Levitating,https://www.youtube.com/watch?v=N000qglmmY0,pop,dance-pop,2020,nu-disco,dua lipa,pop,synthpop,british
