artist,name,url,yt_links,Genre
Sonic Youth,Incinerate,https://www.last.fm/music/Sonic+Youth/_/Incinerate,https://www.youtube.com/watch?v=rP3ovD8ZSS4,rock
Troye Sivan,could cry just thinkin about you,https://www.last.fm/music/Troye+Sivan/_/could+cry+just+thinkin+about+you,https://www.youtube.com/watch?v=tcnKG9-ANuU,pop
OutKast,Roses,https://www.last.fm/music/OutKast/_/Roses,https://www.youtube.com/watch?v=gWju37TZfo0,rap
Kaiser Chiefs,Ruby,https://www.last.fm/music/Kaiser+Chiefs/_/Ruby,https://www.youtube.com/watch?v=qObzgUfCl28,rock
Aaliyah,Are You That Somebody,https://www.last.fm/music/Aaliyah/_/Are+You+That+Somebody,https://www.youtube.com/watch?v=uTMuqL0qx08,hip-hop
DUDA BEAT,Meu Pisêro,https://www.last.fm/music/DUDA+BEAT/_/Meu+Pis%C3%AAro,https://www.youtube.com/watch?v=hkv-w5QJPC0,pop
Death Cab for Cutie,I Will Follow You Into The Dark,https://www.last.fm/music/Death+Cab+for+Cutie/_/I+Will+Follow+You+Into+The+Dark,https://www.youtube.com/watch?v=NDHY1D0tKRA,rock
Lana Del Rey,Cola,https://www.last.fm/music/Lana+Del+Rey/_/Cola,https://www.youtube.com/watch?v=8Pn3aA0rH34,pop
Beach Fossils,Sleep Apnea,https://www.last.fm/music/Beach+Fossils/_/Sleep+Apnea,https://www.youtube.com/watch?v=F64vtDkmGog,rock
The Garden,Thy Mission,https://www.last.fm/music/The+Garden/_/Thy+Mission,https://www.youtube.com/watch?v=W2bc25X0E68,rock
John Legend,Bring Me Love,https://www.last.fm/music/John+Legend/_/Bring+Me+Love,https://www.youtube.com/watch?v=rp7Y0XumBN8,rnb
George Ezra,Budapest,https://www.last.fm/music/George+Ezra/_/Budapest,https://www.youtube.com/watch?v=VHrLPs3_1Fs,pop
Doja Cat,Mooo!,https://www.last.fm/music/Doja+Cat/_/Mooo%21,https://www.youtube.com/watch?v=mXnJqYwebF8,pop
Taylor Swift,You’re Not Sorry (Taylor’s Version),https://www.last.fm/music/Taylor+Swift/_/You%E2%80%99re+Not+Sorry+(Taylor%E2%80%99s+Version),https://www.youtube.com/watch?v=DNaSlUYIXBg,pop
Lil Baby,Life Goes On,https://www.last.fm/music/Lil+Baby/_/Life+Goes+On,https://www.youtube.com/watch?v=o-uWRhi2ngE,rap
Travis Scott,beibs in the trap,https://www.last.fm/music/Travis+Scott/_/beibs+in+the+trap,https://www.youtube.com/watch?v=zmFm9Yp80dE,rap
LIL UZI VERT,Prices,https://www.last.fm/music/LIL+UZI+VERT/_/Prices,https://www.youtube.com/watch?v=unW5KdvSMZw,rap
The Pharcyde,Passin' Me By,https://www.last.fm/music/The+Pharcyde/_/Passin%27+Me+By,https://www.youtube.com/watch?v=a-mAK3uB2_0,rap
Bing Crosby,Twelve Days Of Christmas,https://www.last.fm/music/Bing+Crosby/_/Twelve+Days+Of+Christmas,https://www.youtube.com/watch?v=hQqjv6fpwFk,christmas
Frank Ocean,Fertilizer,https://www.last.fm/music/Frank+Ocean/_/Fertilizer,https://www.youtube.com/watch?v=aRD7sUKTvCE,hip-hop
Scorpions,Wind of Change,https://www.last.fm/music/Scorpions/_/Wind+of+Change,https://www.youtube.com/watch?v=n4RjJKxsamQ,rock
Kanye West,Coldest Winter,https://www.last.fm/music/Kanye+West/_/Coldest+Winter,https://www.youtube.com/watch?v=n6rjQ9VVLDI,rap
Doja Cat,Tonight (feat. Eve),https://www.last.fm/music/Doja+Cat/_/Tonight+(feat.+Eve),https://www.youtube.com/watch?v=Wc-pdVEBoDw,pop
ABBA,Waterloo,https://www.last.fm/music/ABBA/_/Waterloo,https://www.youtube.com/watch?v=Sj_9CiNkkn4,pop
Shawn Mendes,The Christmas Song (Shawn Mendes & Camila Cabello),https://www.last.fm/music/Shawn+Mendes/_/The+Christmas+Song+(Shawn+Mendes+&+Camila+Cabello),https://www.youtube.com/watch?v=aBTH6D0UL-Q,pop
Ariana Grande,Make Up,https://www.last.fm/music/Ariana+Grande/_/Make+Up,https://www.youtube.com/watch?v=DOJremEQw88,pop
Rina Sawayama,STFU!,https://www.last.fm/music/Rina+Sawayama/_/STFU%21,https://www.youtube.com/watch?v=XojM2D3F-Dc,pop
BROCKHAMPTON,GOLD,https://www.last.fm/music/BROCKHAMPTON/_/GOLD,https://www.youtube.com/watch?v=n_ZRRlVDVa8,pop
Hozier,From Eden,https://www.last.fm/music/Hozier/_/From+Eden,https://www.youtube.com/watch?v=cI0wUoCLnLk,indie
Third Eye Blind,Semi-Charmed Life,https://www.last.fm/music/Third+Eye+Blind/_/Semi-Charmed+Life,https://www.youtube.com/watch?v=beINamVRGy4,rock
Supergrass,Alright,https://www.last.fm/music/Supergrass/_/Alright,https://www.youtube.com/watch?v=qUE4oDunYkc,rock
lil skies,Lust,https://www.last.fm/music/lil+skies/_/Lust,https://www.youtube.com/watch?v=tcaw6lzYt1Q,rap
Soccer Mommy,circle the drain,https://www.last.fm/music/Soccer+Mommy/_/circle+the+drain,https://www.youtube.com/watch?v=DTc1w32Vbeo,pop
Summer Walker,Girls Need Love (with Drake) - Remix,https://www.last.fm/music/Summer+Walker/_/Girls+Need+Love+(with+Drake)+-+Remix,https://www.youtube.com/watch?v=TP3moIiyZFI,rap
Justin Bieber,Holy (feat. Chance the Rapper),https://www.last.fm/music/Justin+Bieber/_/Holy+(feat.+Chance+the+Rapper),https://www.youtube.com/watch?v=pvPsJFRGleA,pop
Europe,The Final Countdown,https://www.last.fm/music/Europe/_/The+Final+Countdown,https://www.youtube.com/watch?v=9jK-NcRmVcw,rock
LSD and the Search for God,Starting Over,https://www.last.fm/music/LSD+and+the+Search+for+God/_/Starting+Over,https://www.youtube.com/watch?v=HMKkbco7UFE,pop
Ed Sheeran,Castle On the Hill,https://www.last.fm/music/Ed+Sheeran/_/Castle+On+the+Hill,https://www.youtube.com/watch?v=K0ibBPhiaG0,pop
BTS,MIC Drop (Steve Aoki Remix) [Full Length Edition],https://www.last.fm/music/BTS/_/MIC+Drop+(Steve+Aoki+Remix)+%5BFull+Length+Edition%5D,https://www.youtube.com/watch?v=zz1MkneRm6A,trap
Blind Melon,No Rain,https://www.last.fm/music/Blind+Melon/_/No+Rain,https://www.youtube.com/watch?v=3qVPNONdF58,rock
Kendrick Lamar,LUST.,https://www.last.fm/music/Kendrick+Lamar/_/LUST.,https://www.youtube.com/watch?v=qUx8EwR0Otg,pop
Travis Scott,Apple Pie,https://www.last.fm/music/Travis+Scott/_/Apple+Pie,https://www.youtube.com/watch?v=F-rLNvnVn4A,pop
Isaiah Rashad,From The Garden (feat. Lil Uzi Vert),https://www.last.fm/music/Isaiah+Rashad/_/From+The+Garden+(feat.+Lil+Uzi+Vert),https://www.youtube.com/watch?v=bYBXcc_QmYA,rap
Arca,Fiera,https://www.last.fm/music/Arca/_/Fiera,https://www.youtube.com/watch?v=B9S8v-LfoaU,electronic
TWICE,F.I.L.A (Fall in Love Again),https://www.last.fm/music/TWICE/_/F.I.L.A+(Fall+in+Love+Again),https://www.youtube.com/watch?v=I4xliZW07tk,k-pop
ScHoolboy Q,Man of the Year,https://www.last.fm/music/ScHoolboy+Q/_/Man+of+the+Year,https://www.youtube.com/watch?v=rEMsjeq43_U,rap
Wiz Khalifa,The Thrill,https://www.last.fm/music/Wiz+Khalifa/_/The+Thrill,https://www.youtube.com/watch?v=bf43dRUBSks,rap
Nas,Speechless,https://www.last.fm/music/Nas/_/Speechless,https://www.youtube.com/watch?v=UtGrdtLSOWA,rap
J. Cole,9 5 . s o u t h,https://www.last.fm/music/J.+Cole/_/9+5+.+s+o+u+t+h,https://www.youtube.com/watch?v=g3mVwt0B6G4,rap
Eminem,Mockingbird,https://www.last.fm/music/Eminem/_/Mockingbird,https://www.youtube.com/watch?v=S9bCLPwzSC0,rap
6LACK,PRBLMS,https://www.last.fm/music/6LACK/_/PRBLMS,https://www.youtube.com/watch?v=fS9m0Ac8PCU,rap
